,Folder,Title,"Creator (suffix, fname, middle, surname)",Keyword,Rights,Abstract,Date Created,Subject,Resource Type,Restrictions,Embargo Dates,PDF Files,,,,,,,
0,\etdadmin_upload_526697,"Evaluating Patterns of Depressive Symptoms, Cigarette Smoking, and Both with Cardiovascular Health in the CARDIA Study","(None, 'Allison', 'Jane', 'Carroll')","cardiovascular health, depression, multiple health behaviors, smoking",In Copyright,"['Background: Evidence supporting a bidirectional relationship between depression and recurrent cardiovascular disease (CVD) appears strong, but there remains a need to better characterize the role of depression in CVD risk and cardiovascular health (CVH) promotion, especially in the context of comorbid risk factors such as cigarette smoking. In the present study, we evaluated the association between the interaction of patterns of depression with patterns of smoking and three CVH outcomes: a clinical assessment, biomarkers of physiological processes associated with CVH, and additional behaviors associated with CVH. It was hypothesized that individuals with higher or increasing exposure to depression as well as higher or increasing exposure to smoking throughout young adulthood would have significantly worsening CVH throughout middle adulthood compared to individuals with depression exposure only, smoking exposure only, or neither. ', '\tMethods: Data for this study were from the Coronary Artery Risk Development in Young Adults (CARDIA) study. Using PROC TRAJ in SAS, we modeled trajectories of depression (assessed on the Centers for Epidemiologic Studies Depression Scale: CES-D) from Year 5 to Year 15 and smoking (cigarettes per day: CPD) from Year 0 to Year 15. Three interactions were evaluated, including depression status trajectory x smoking status trajectory, CES-D score trajectory x CPD trajectory, and CES-D score trajectory x CPD trajectory among smokers. CVH was assessed by: 1) American Heart Association (AHA) CVH Score from Year 15 to Year 25, 2) biomarkers of inflammation (high-sensitivity C-reactive protein: hsCRP), oxidative stress (F2-isoprostanes and superoxide dismutase: SOD), and endothelial dysfunction (sP-selectin and sICAM1) at Year 15, and 3) behaviors, including physical activity and alcohol use from Year 15 to Year 25 and sleep patterns from Year 15 to Year 20. We used generalized linear mixed models to evaluate the associations between depressive symptoms trajectories, smoking trajectories, and both with change in CVH outcomes. Linear regression models were used for biomarkers, which were only measured at Year 15, and sleep outcomes, which only produced a single change score from Year 15 to Year 20.', '\tResults: The depression trajectory x smoking trajectory interaction was not associated with change in AHA CVH Score in the full sample or among smokers (all p-values > .05). The depression trajectory x smoking trajectory interaction was associated with hsCRP in the full sample (pinteraction<.001) and SOD among smokers (pinteraction=.003), but no associations were observed with sP-selectin, F2-isoprostanes, or sICAM1 (all p-values > .01). The depression trajectory x smoking trajectory interaction was associated with changes in alcohol use in the full sample (pinteraction=.008) and changes in sleep duration in the full sample (pinteraction<.001); no associations were observed with physical activity or sleep disturbance, and none of the models among smokers were significant (all p-values > .0125). ', '\tDiscussion: Overall, results did not support an association between depression, smoking, and CVH outcomes. Nonetheless, this was the first study to evaluate the potential modifying effect of smoking on the association between depressive symptom patterns and CVH outcomes. Future directions include further validation of CVH measures and assessments, understanding the mechanisms by which depressive symptoms and comorbid conditions negatively affect CVH, and developing interventions to address depressive symptoms for CVH promotion.']",1/1/2017,Clinical Psychology,Dissertation,"code: 1, date: 10/03/2020",Private,\etdadmin_upload_526697\Carroll_northwestern_0163D_13818.pdf,,,,,,,
1,\etdadmin_upload_546522,"Anisotropic Gold Nanostars: Seedless Growth Mechanism, Post-Synthetic Separation, and Ligand Distribution Quantification","(None, 'Kavita', None, 'Chandra')","Anisotropic nanoparticles, Gold nanostars, Growth Mechanism, Synthesis and characterization",In Copyright,"['Metal particles at the nanoscale display unique physical, chemical, and optical properties corresponding to their size, shape, and ligands. These factors can be manipulated to target specific biomedical applications, such as drug delivery and sensing, through functionalized surfaces. The development of specialized synthetic methods for the precise control of nanoparticle size and morphology enables the desired ligand distribution. Nanoparticle curvature has a significant effect on ligand loading; understanding this relationship is critical in determining particle-cell interactions. This work focused on the factors affecting the synthesis mechanism and post-synthetic separation of anisotropic gold nanostars (AuNS) and the quantification of ligand distribution on varying nanoparticle morphologies.', 'The seedless synthesis of AuNS requires two precursors, but the methodology often resulted in poor yield of branched particles. In Chapter 2, we described four critical factors affecting the final nanoparticle morphology: mechanical agitation, concentration ratio, buffer type, and chemical environment. We established a set of design considerations to increase the homogeneity of nanoparticle shape and anisotropic particle yield and expanded the library of precursors used for anisotropic growth to include a morpholine-based buffer. This work led to the creation and classification of a collection of nanoparticles with tunable optical properties. ', 'While synthesizing AuNS with a morpholine-based buffer was possible, the buffer created unstable and heterogenous particles. In Chapter 3, we showed a robust strategy to obtain highly homogenous AuNS populations through a stabilization and sorting method. By altering the storage conditions, particle stability increased three-fold. The stable AuNS were separated through density gradient centrifugation (DGC) based on branch length and number. We demonstrated that one round of DGC efficiently separated AuNS populations and additional rounds did not improve homogeneity.', 'In Chapter 4, we used our optimized separation methodology to obtain DNA-functionalized particles. Specifically, we probed how curvature of individual particles impacted ligand distribution through time-of-flight secondary ion mass spectrometry. AuNS with a medium density of branches had six-fold more ligands per particle than a spherical nanoparticle of comparable size. As branch number increased beyond this point, the negative curvature increased and hindered additional ligand loading. This fundamental tool allowed for the simultaneously probing of an inorganic core and unlabeled-ligands on the single particle level.', 'Finally, in chapter 5, we explored the mechanism of the seedless growth of anisotropic AuNS through evaluating the intermediate species of the reaction. By repurposing electron paramagnetic resonance spectroscopy, we studied the radical concentration in situ during the reaction and determined the effect of buffer concentration and type. We correlated the trend in radical intensity to the ensemble optical properties and individual particle morphology.']",1/1/2019,Materials Science and Engineering,Dissertation,"code: 1, date: 10/03/2019",Private,\etdadmin_upload_546522\Chandra_northwestern_0163D_13969.pdf,,,,,,,
2,\etdadmin_upload_559457,Dynamic Trucking Equilibrium in a Freight Exchange Platform with Hyperpath Routing,"(None, 'John', 'V', 'Miller')","combined pricing and bidding, dynamic trucking equilibrium, hyperpath, online freight exchange, space-time expanded network, variational inequality",In Copyright,"[""This dissertation proposes a new hyperpath-based truck equilibrium assignment model with bidding. Unique from other trucking assignment models that examine assigning trucks for a large fleet of vehicles under a company's control, this model considers the case of many independent but homogeneous carriers that are competing for loads by bidding in auctions administered by an online freight exchange. The competitors follow optimal bidding hyperpaths to maximize their expected profit. The carriers all utilize an Online freight exchange (OFEX) platform that allows shippers to advertise loads to a large number of freight operators in search of loads.  Such platforms often serve the purpose of matching demand and supply for freight in real-time.  "", ""The dissertation starts by developing a hyperpath truck routing problem that leverages the power of an OFEX platform. The OFEX routing problem seeks to determine a hyperpath in a space-time expanded network that maximizes the expected profit for a given origin-destination pair and tour duration. At the core of the OFEX routing problem is a combined pricing and bidding model that simultaneously (1) considers the probability of winning a load at a given bid price and current market competition; (2) anticipates the future profit corresponding to the present decision; and (3) prioritizes the bidding order among possible load options.  Results from numerical experiments, constructed using real-world data from a Chinese OFEX platform, indicate that the proposed routing model could (1) improve trucks' expected profits up to 400%, compared to the myopic and recursive benchmark solutions built to represent the state of the practice; and (2) enhance the robustness of the overall profitability against the impact of market competition and spatial variations."", 'The interference of the hyperpath routing model is that as more trucks utilize the method, the less advantageous the hyperpaths become due to the increased competition. Therefore, the dissertation continues to explain an equilibrium model that leverages the hyperpath truck routing solution to enable a solution for all trucks. This dissertation proposes a new hyperpath-based dynamic trucking equilibrium (DTE) assignment model.  Unlike existing freight assignment models, this model focuses on the interactions between individual truck operators that solely compete for loads advertised on an online freight exchange. The competing trucks are assumed to follow optimal bidding and routing strategies - represented using a hyperpath - to maximize their expected profit. The proposed DTE model helps (1) predict system-wide truck flows (including empty truck flows), (2) identify efficiency improvements gained by network-wide visibility, and (3) lay the foundation for building a system optimal model. We rewrite the DTE conditions as a variational inequality problem (VIP) and discuss the analytical properties of the formulation, including solution existence. A heuristic solution algorithm is developed to solve the VIP, which consists of three modules: a dynamic network loading procedure for mapping hyperpath flows onto the freight network, a column generation scheme for creating hyperpaths as needed, and a  method of successive average for equilibrating profits on existing hyperpaths.  The model and the solution algorithm are validated by numerical experiments constructed from empirical data collected in China.   The results show that the DTE solutions outperform with wide margin the benchmark solutions that either ignore inter-truck interaction or operate trucks according to suboptimal routing and bidding decisions.']",1/1/2018,Civil and Environmental Engineering,Dissertation,None,no embargo,\etdadmin_upload_559457\Miller_northwestern_0163D_14024.pdf,,,,,,,
3,\etdadmin_upload_562256,Psychiatric Disorders in Hispanic Youth after Detention:  A Prospective Longitudinal Study of Ethnic Differences,"(None, 'Lauren', None, 'Potthoff')","Ethnic Differences, Hispanic, Juvenile Detention, Psychiatric Disorders",In Copyright,"['Youth in detention are at an increased risk for psychiatric disorders compared with youth in the general population.  Hispanic youth have particularly pressing mental health needs in detention and as they age.  Studies examining psychiatric disorders among Hispanic youth in detention do not differentiate by ethnicity; rather they consider Hispanics as a homogenous group.  To our knowledge, no prospective longitudinal study has examined ethnic differences in the prevalence of psychiatric disorders among Hispanic youth in detention and as they age into adulthood.  The current study addresses these omissions in the literature.  Using a sample of Mexican and Puerto Rican juvenile detainees from Cook County, Chicago, the current study examines ethnic differences in: 1) the prevalence of psychiatric disorders at detention; 2) the prevalence of psychiatric disorders during the 16 years after detention; and 3) the persistence of psychiatric disorders during the 16 years after detention.  We will also examine ethnic differences in sociodemographic characteristics between Mexican and Puerto Rican youth. ', '\t  ', 'There were several ethnic differences in sociodemographic characteristics and the prevalence of psychiatric disorders at baseline.  As youth aged, however, ethnic differences in the prevalence of psychiatric disorders were less substantial.  Our findings suggest the need for more appropriate assessment of Hispanic youth involved in the juvenile justice system—specifically detention—in order to provide the most culturally appropriate services as youth return to their communities.  Future research should examine ethnic differences in the prevalence of psychiatric disorders among Hispanic youth in the general population, ethnic differences in culturally adapted mental health treatments for Hispanic youth, and ethnic differences in psychosocial functioning after youth leave detention and as they age.']",1/1/2018,Clinical Psychology,Dissertation,None,no embargo,\etdadmin_upload_562256\Potthoff_northwestern_0163D_14035.pdf,,,,,,,
4,\etdadmin_upload_565341,Gender Differences in Youth Externalizing Comorbidity,"(None, 'Kathrin', None, 'Herzhoff')",Clinical psychology,In Copyright,"['This dissertation examined gender differences in youth externalizing comorbidity via three studies. Study 1 was a meta-analytic review that provided the first robust estimate of gender differences in youth externalizing comorbidity. Studies 2 and 3 unpacked these gender differences at two levels of analysis: personality (Study 2 and 3) and hormones (Study 3). Hypotheses for gender differences were guided by predominant theories, such as the gender paradox, gender intensification, and sexual selection theory. Both, these predominant theories and the limited prior studies on gender differences, generally suggested higher rates of comorbidity in externalizing girls than boys. Study 1 was a meta-analytic review of gender differences in youth externalizing comorbidity that was able to test these hypotheses and provided the first unbiased descriptive information regarding gender differences. This meta-analysis of epidemiological studies that conceptualized psychopathology categorically showed no evidence of gender differences in odds for experiencing comorbidity between oppositional defiant disorder (ODD) or conduct disorder (CD) and internalizing disorders. Having an externalizing disorder also increased the odds of having another disorder similarly across the genders. In addition, being a girl was associated with lower odds of experiencing comorbidity within externalizing disorders (e.g., attention deficit/hyperactivity disorder (ADHD)-ODD, ADHD-CD, ODD-CD) and lower odds of experiencing comorbidity between ADHD and internalizing disorders such as depressive and anxiety disorders. Age consistently accounted for externalizing-anxiety comorbidity rates in girls only, such that these comorbidity rates increased with age for girls. Thus, fewer gender differences were found in the meta-analysis than would be predicted by predominant theories. In fact, when gender differences were found, they were often in the direction opposite to the prediction, e.g., being a girl was associated with lower odds of comorbidity between ADHD and anxiety disorders. Study 2 tested whether child personality accounted for ODD comorbidity patterns more strongly in girls than boys in line with prior findings that girls need more risk factors than boys for the expression of other externalizing disorders. Participants in Study 2 were 346 children (49% boys; Mage = 9.97 years, SDage = 0.83 years) and their parents. Both parents reported on their child’s psychopathology symptoms and temperament/personality traits via questionnaires. One parent and the child also reported on the child’s psychopathology via structured clinical interview. Thus, I was able to conceptualize psychopathology dimensionally using symptom-counts. ODD comorbidity with externalizing disorders (i.e., CD and ADHD) was generally accounted for by variance in agreeableness and conscientiousness, whereas internalizing disorder comorbidity (i.e., depression and anxiety) was accounted for by variance in neuroticism. Gender moderation was largely absent. The overall lack of gender-specific results suggested that personality traits seem to be equally relevant for explaining boys’ and girls’ manifest ODD behaviors. Finally, Study 3 extended the nomological network of a bifactor model of psychopathology, a modern conceptualization of psychopathology and comorbidity, and neuroticism, by examining gender differences and associations with cortisol reactivity. For Study 3, mothers and their 349 primarily 9-to-10-year-old children (53% girls) were interviewed about the child’s psychopathology and mothers completed questionnaires about the child’s psychopathology and dispositional traits. Cortisol reactivity was measured while children performed a standardized laboratory stress task. This study found (1) partial support for gender invariance of the bifactor models of psychopathology and neuroticism, (2) mean level differences only on a specific fear factor (higher scores for girls), (3) gender moderation only of the specific irritability—externalizing association (stronger in boys), and (4) a significant association between the specific externalizing factor and low cortisol reactivity. As such, Study 3 also showed limited evidence for consistent gender differences in a bifactor model of psychopathology and the factors’ associations with neuroticism and cortisol reactivity. Across studies, theoretical and clinical implications were discussed, especially regarding the lack of support for existing gender theories, publication bias as a possibility for prior study’s significant findings regarding gender differences, and the importance of personality in assessment of psychopathology for both boys and girls.']",1/1/2018,Psychology,Dissertation,None,no embargo,\etdadmin_upload_565341\Herzhoff_northwestern_0163D_14067.pdf,,,,,,,
5,\etdadmin_upload_567449,Factors contributing to Pseudomonas aeruginosa pathogenesis,"(None, 'Ami', 'Joy', 'Hughes')","antibiotic resistance, inflammasome, Pseudomonas aeruginosa, T3SS",In Copyright,"['Pseudomonas aeruginosa is a Gram-negative pathogen that frequently causes severe nosocomial infections through expression of virulence factors, evasion of immune clearance and resistance to therapeutic antimicrobial agents.  These factors have led the US Centers for Disease Control and Prevention (CDC) and Infectious Disease Society of America (IDSA) to identify P. aeruginosa as a severe threat to public health.  Thus, understanding P. aeruginosa pathogenesis is of interest and concern to the medical and scientific communities.  In the current study, we examined factors that contribute to pathogenesis, including the host immune response and antimicrobial resistance.  Using mice deficient in components of the inflammasome, an important component of the host innate immune defense to infection, we demonstrated that the inflammasome adaptor protein apoptosis speck-like protein containing a CARD (ASC) is associated with severe pre-lethal illness in a mouse model of pneumonia.  In the absence of ASC, infected mice exhibited improved survival and bacterial clearance from the lungs compared to mice lacking the inflammasome effector protein caspase-1/11 and C57BL/6 (B6) mice.  Interestingly, we found that ASC is required for activation of caspase-3 in addition to caspase-1.  Furthermore, activation of ASC-dependent caspase-3 activity was dependent on P. aeruginosa possessing a functional type III secretion system.  Collectively, these findings may provide an alternate strategy for P. aeruginosa to promote severe infection in vivo by activating caspase-3 through ASC, independent of caspase-1 activation.  Next, we utilized a pre-existing library of P. aeruginosa isolates to analyze relationships between antimicrobial resistance and bacterial virulence using statistical models.  We found that strains with higher bacterial virulence had a lower odds ratio of exhibiting an antibiotic-resistant or MDR phenotype by logistic regression.  Interestingly, P. aeruginosa strains that secrete the T3SS effector protein ExoU had higher odds ratio of antibiotic resistance.  We also found a correlation between resistance to a greater number of antimicrobial classes and lower virulence scores by linear regression.  Collectively, these models demonstrate an inverse relationship between antimicrobial resistance and bacterial virulence.  In summary, we describe how P. aeruginosa exacerbates the ASC-mediated immune response to promote severe illness in a mouse model of pneumonia and how strains of increased virulence are more likely to be antibiotic susceptible or exhibit resistance to fewer antimicrobial classes.  These results further our understanding of the various strategies that P. aeruginosa employs to overcome clearance mechanisms in promoting disease.']",1/1/2018,Driskill Graduate Training Program in Life Sciences,Dissertation,"code: 1, date: 10/03/2019",Private,\etdadmin_upload_567449\Hughes_northwestern_0163D_14070.pdf,,,,,,,
6,\etdadmin_upload_578673,Essays in Banking,"(None, 'Alice', 'Yehjin', 'Jun')",Finance,In Copyright,"[""This dissertation seeks to contribute to our knowledge of banks and how they operate. I explore three broad questions: 1) why certain types of banks are important, 2) how banks use internal capital markets, and 3) what affects banks' decisions to pursue external financing."", ""In Chapter 1, I address the larger question of why small banks are important by exploring if loans from small banks are easily substitutable. I focus on the small business loan market, and I use a bank's exposure to a natural disaster in one county as an instrument for its credit supply to other counties that are unaffected by natural disasters. Through internal capital markets, and due to external financing frictions, a positive credit demand shock in the disaster county becomes a negative credit supply shock to non-disaster counties. Importantly, only small banks shift lending in this manner, allowing me to isolate the effect of a shock from small, and not large, banks. In the non-disaster counties, I find that, first, small banks step in for other small banks, while large banks step in only under conditions that suggest there is less adverse selection in the market. This is consistent with a story in which small banks are important because of their ability to collect soft information (information that is not easily quantifiable) about borrowers. This allows them to serve a segment of the market that large banks are less well-suited to serve, because large banks focus on collecting hard information (information that is easily quantifiable). Second, I find that the credit supply shock has real effects on the number of small businesses; moreover, firms that depend on a local customer base are more adversely affected. This is consistent with a story in which small banks collect soft information about local markets, which allows them to better serve these firms. Overall, the results suggest that small banks play a unique role in a segmented borrower market."", ""In Chapter 2, I look at how banks use internal capital markets by focusing on how they shift different types of mortgages across their lending network in response to a disaster. Applying the same identification strategy in Chapter 1 to mortgage markets, I find that most movements of capital are consistent with a story in which banks use internal capital markets to manage liquidity; for example, banks increase total lending to disaster counties while reducing total lending to non-disaster counties, and in particular, banks reduce supply of loans that they keep, but not loans that they sell. However, the most interesting result is that banks $increase$ supply of loans insured by the Federal Housing Administration (FHA) to non-disaster counties, while increasing supply of conventional loans to disaster counties. Because borrowers who obtain FHA loans usually have higher credit risk, this could imply a risk management story: given an influx of safer conventional loans in the non-disaster counties, perhaps banks' appetite for riskier FHA loans in non-disaster counties increases. However, anecdotal evidence suggests some banks believe they are overly compensated for originating FHA loans, relative to the risk they take on by doing so. Thus, these results could also be consistent with a story in which bank (possibly overly) originate FHA loans, because they view these loans are a source of low-risk liquidity."", 'In Chapter 3, I address why banks might have been reluctant to raise external financing during the crisis by exploring the role of strategic complementarities between existing stakeholders and potential investors. I model existing short-term debtholders and a pool of potential equityholders, and I start the game after the bank is already known to be insolvent to strip out the well-documented information channel, through which a bank might be reluctant to issue equity because doing so could signal that the bank is distressed. I find that there is a subset of banks that fail, even though they would have survived if they received full financing. For these banks, debtholders refuse to rollover because they (correctly) anticipate that the equity issuance will fail, and and equityholders refuse to invest because they anticipate that the bank will suffer a rollover freeze. These strategic complementarities clearly lead to an efficiency loss, but can also be part of the solution: a central bank need only invest enough bailout funds to allay current and potential stakeholders.']",1/1/2018,Finance,Dissertation,None,no embargo,\etdadmin_upload_578673\Jun_northwestern_0163D_14089.pdf,,,,,,,
7,\etdadmin_upload_581251,Essays in Applied Microeconomics,"(None, 'Susan', None, 'Ou')",Economics,In Copyright,"['The first two chapters of my thesis are related to health economics, and explore how individual decisions affecting health can be impacted by different factors, including by government policy.  The third chapter of my thesis (coauthored with Heyu Xiong) focuses on public economics in the Chinese context.  ', ""In the first chapter, I study the causal impact of neighborhoods on health. Through exploiting variation in the number of years individuals have lived in their neighborhood, I examine the causal effects of exposure to high and low body mass index (BMI) neighborhoods on one's own BMI. The identifying assumption is that there are no unobserved individual level characteristics correlated with both BMI and moving, after controlling for observables. I find that neighborhoods do not have a causal impact on health."", 'In the second chapter, I study the effect of information provision on consumer welfare in the context of the 2006 trans fat labeling legislation. I develop and estimate a structural discrete choice model, featuring heterogeneity in the valuation of information from the label and taste for trans fats. Revealed preference estimates indicate that consumers would be better off in a labeling regime than a ban regime, though the gains in consumer surplus are small.  However, a normative approach, informed by the health costs of trans fats found in the medical literature, suggests that a ban would lead to higher welfare gains than a label.', 'In the final chapter, Heyu and I study the role of media in the transmission of ideology in the context of the Cultural Revolution.   We develop a novel identification strategy by interacting the strength of radio signals and linguistic compatibility of local dialects to the broadcast language, Mandarin.   A stronger signal is found to increase revolutionary intensity in counties where Mandarin was better understood. Through investigation of participation in the Send Down Movement, we provide evidence that one mechanism underlying our findings is differential individual responses rather than differences in top-down policy. The effects of propaganda are persistent, as evidenced by Communist Party membership in later life.']",1/1/2018,Economics,Dissertation,None,no embargo,\etdadmin_upload_581251\Ou_northwestern_0163D_14099.pdf,,,,,,,
8,\etdadmin_upload_584627,The Conical Kahler-Ricci Flow and the Analytic Log Minimal Model Program,"(None, 'Gregory', 'J', 'Edwards')","Conical Kahler Metrics, Geometric Flows, Kahler-Ricci Flow",In Copyright,"['We prove a uniform scalar curvature bound for solutions of the conical Kahler-Ricci flow when the twisted canonical bundle is semiample and the cone divisor is obtained from the associated Iitaka-Kodaira fibration. In the course of the proof we establish uniform bounds for the potential of the metric and its time derivative.', 'Next, we classify the behavior of the conical Kahler-Ricci flow on Hirzebruch surfaces under the Calabi ansatz when the cone divisor is the exceptional curve. We show that the flow always reaches a singularity in finite time and converges in the Gromov-Hausdorff topology to either a two dimensional projective orbifold, the Riemann sphere, or a single point. The limiting behavior depends only on numerical properties of the initial Kahler class and the degree of the Hirzebruch surface. In particular, this establishes the first example of the flow contracting the cone divisor itself at the singular time, and shows that the conical flow may contract curves of self-intersection less than (-1), as opposed to the behavior of the smooth Kahler-Ricci flow.', 'Finally, we outline some conjectures regarding the structure of finite time non-collapsing singularities of the conical Kahler-Ricci flow, construct geometric examples where we expect such behavior to occur, and formulate some new conjectures about the singularity formulation in the Gromov-Hausdorff limit when the twisted canonical bundle is big and nef.']",1/1/2018,Mathematics,Dissertation,None,no embargo,\etdadmin_upload_584627\Edwards_northwestern_0163D_14118.pdf,,,,,,,
9,\etdadmin_upload_585760,Consumer Fairness and Trust Judgments in Response to ‘Bad Behavior’ by Firms,"(None, 'Benjamin', 'Jerome', 'Neuwirth')","Autonomy, Fairness, Price Increases, Pricing, Reputation, Trust",In Copyright,"['Firms are facing reputational crises with increasing regularity. Despite this, relatively little is known about what types of firm actions consumers will judge to be reprehensible, and how firms should respond once a reputational crisis has occurred. In this dissertation I focus on two specific topics related to firm reputational crises: consumer price fairness judgments and consumer trust repair. In Essay 1 I propose that autonomy threat, a previously unexplored construct in the context of pricing, is a critical determinant of the judged fairness of demand-based price increases by firms. I test my proposal in one pilot study, five experimental studies, and one meta-analysis. In Essay 2 I investigate how firms can most effectively repair consumer trust once a reputational crises has occurred. I propose that is most effective for firms to repent following integrity violations, and to seek third-party regulation following competence violations. I test my proposal in four experimental studies, including one field study.']",1/1/2018,Marketing,Dissertation,None,no embargo,\etdadmin_upload_585760\Neuwirth_northwestern_0163D_14134.pdf,,,,,,,
