,Title,"Creator (suffix, fname, middle, surname)",Keyword,Rights,Abstract,Date Created,Subject,Resource Type,Restrictions,Embargo Dates,PDF Files
0,Earning More by Doing Less: Human Capital Specialization and the College Wage Premium,"(None, 'Titan', 'M', 'Alon')",Economics,In Copyright,"[""This paper builds a model of human capital accumulation driven by increasing specialization of the workforce. Individuals increase the efficiency of time dedicated to human capital acquisition by focusing investments on narrower sets of skills. The evolution of secondary and post-secondary curricula in the United States from 1870-2000 confirms the presence of these changes in the \\textit{scope of specialization}. Quantitative exercises show that specialization can account for roughly 29\\% of the rise in the skill premium, and 25-30\\% of the rise in relative educational attainment from 1965-2005. The effect on the skill premium is largely due to a decline in specialization in high school, where vocational training was replaced with academic graduation requirements. The model's predictions are also consistent with international variation in the skill premium, attainment levels, and the organization of educational institutions. An important policy implication of the analysis is that making room for specialized occupational training in secondary schools could be an effective tool to tackle income inequality.""]",01/01/2018,Economics,Dissertation,None,no embargo,Alon_northwestern_0163D_14104.pdf
1,Efficient Charge Transport in Architecture-Controlled Perovskite-Based Core-Shell Nanowire Arrays,"(None, 'Michael', None, 'Ashley')","anodic aluminum oxide, coaxial lithography, core shell nanowires, electrodeposition, nanotechnology, perovskite nanowires",In Copyright,"['Nanostructured semiconductors exhibit promising optoelectronic properties, such as high photoluminescence quantum yield and efficient charge separation, making them attractive materials for applications including photovoltaics, LEDs, and lasers. These superior properties are often due to improved crystallinity and reduced charge separation distance compared to bulk semiconductors. As a result, it is desirable to synthesize uniform and highly crystalline nanostructures of arbitrary composition and placement relative to adjacent materials. Metal halide perovskites have emerged as a new class of solution-processable, high-performance semiconductors; however, complex compositions and poorly understood surface chemistry have precluded the synthesis of uniform perovskite nanostructures. Furthermore, controlled nanostructured interfaces (e.g. core-shell nanowires), which can dramatically reduce the distance excited charges must travel to be extracted for useful energy, have not been realized for perovskite-based systems.', 'Anodic aluminum oxide (AAO) templates allow one to overcome these synthetic challenges, as they enable the materials general synthesis of both oriented nanowires, as well as nanotubes that can encapsulate them, with uniform and tunable size. AAO templates are characterized by a dense array of oriented cylindrical nanopores with tunable diameter, length, and spacing; herein, their implementation for nanowire synthesis facilitated the study of diameter-dependent crystallinity in perovskites using powder X-ray diffraction (XRD) and time-resolved photoluminescence spectroscopy (TRPL). Compositional generality was also explored by synthesizing CH3NH3PbI3, CH3NH3PbBr3, and Cs2SnI6 nanowires, all using a simple spin coating method. Moreover, perovskite-based nanostructured interfaces were designed and synthesized within AAO pores, wherein desired materials were precisely placed in a core-shell architecture. This was accomplished using coaxial lithography (COAL), a powerful electrodeposition-based technique for the synthesis of nanorings and nanotubes with controllable dimensions and compositions. Combined with perovskite nanowire synthesis, COAL enabled the preparation of CH3NH3PbI3 perovskite core – copper thiocyanate shell nanowires. One can use TRPL to monitor excited charge lifetimes and quantify the advantage of short charge separation distance for charge extraction; TRPL decay curves showed that the rate of charge extraction from perovskite by an adjacent semiconductor was accelerated by three orders of magnitude when a radial heterojunction (as opposed to an axial heterojunction only) was introduced.', 'Successful synthesis and characterization of core-shell nanowire arrays composed of complex materials validates AAO as a versatile template for nanomaterials by design. By combining multiple strategies for nanostructure synthesis within AAO (i.e. electrodeposition and solution-casting), this work sets the foundation for the development of a diverse library of composite nanomaterials with compositions, dimensions, and interfaces that can be tailored for a desired application.']",01/01/2018,Chemical and Biological Engineering,Dissertation,None,no embargo,Ashley_northwestern_0163D_14112.pdf
2,Traveling Waves in Models of Population Dynamics with Nonlocal Interactions,"(None, 'Eric', 'Arthur', 'Autry')","biological control, nonlocality, population dynamics, traveling waves",In Copyright,"['This thesis focuses on ecological models of population dynamics and the traveling, migratory waves that can result when a stable state either displaces an unstable state, or displaces another stable state. We consider the effect of nonlocal interactions, where members of the species interact over a distance. This gives rise to integro-partial differential equations of reaction-diffusion type. Our work has encompassed two projects. The first considers a single species competing nonlocally with itself, while the second considers a food chain system of three species. In both, we consider traveling waves and determine how nonlocality can affect the speed of propagation, the stability of the equilibria, and the shape of the fronts.', 'In our first project, we developed a piecewise linear, reaction-diffusion model describing the growth and movement of a single species, u, so that when we considered a particular form of nonlocality, we were able to reduce the integro-PDE to a system of algebraic equations. This allowed a full description of the traveling wave solutions. We also considered the effects of asymmetric nonlocality, where the distance over which the nonlocal interactions occurred was different to the left and to the right of a given location. We were able to show how the extent of the nonlocality and the strength of the asymmetry affected the speed of propagation of the traveling fronts, and how they could cause a loss of monotonicity in the solutions. Finally, we considered cases where the waves could propagate in either direction.', 'In our second project, we considered a three species food chain model, where species u was preyed upon by species v, which in turn was preyed upon by species w. Our primary focus was on biological control, where the bottom species u is an important crop, while v is a pest that has infested the crop. The superpredator w is introduced into this pest-infested environment in an attempt to restore the system to a pest-free state. For this model, we considered two types of nonlocality: one where the crop species u competes nonlocally with itself, and the other where the superpredator w is assumed to be highly mobile and therefore preys upon the pest v in a nonlocal fashion. In this context, we examined how biological control could prove to be highly susceptible to noise, and could fail outright if the pest species was highly diffusive. We showed, however, that control could be restored if the superpredator was sufficiently diffusive, and that the control could be made robust if the superpredator behaved nonlocally. Since our focus was on biological control, where the superpredator is generally introduced artificially, our results point to properties of the superpredator which can lead to successful control.']",01/01/2018,Engineering Sciences and Applied Mathematics,Dissertation,None,no embargo,Autry_northwestern_0163D_14132.pdf
3,Neural Mechanisms of Olfactory Categorization and Navigation in the Human Brain,"(None, 'Xiaojun', None, 'Bao')",Neurosciences,In Copyright,"['The brains of humans and animals have the amazing capability of extracting abstract relationships between external stimuli efficiently. Knowing such regularities helps us compute and react to novel information flexibly without prior experience. The olfactory system is no exception. Animals need to infer commonalities across different odors sharing similar meaning, while preserving individual distinctions across these odors. They must also locate and predict sources of odors to optimize their proximity to the odor-emitting objects. The neural mechanisms underlying these critical olfactory cognitions are still full of questions. In two independent fMRI experiments, we investigated how the human brain represents 1) categorically organized odor objects, and 2) two-dimensional odor space constructed by two-odorant mixtures.', 'In the first experiment, we took advantage of the anatomical organization of the olfactory system and delivered the GABA(B) receptor agonist baclofen to suppress associative input to human piriform cortex. Multi-voxel pattern analyses revealed that baclofen disrupted pattern separation of within-category odors in the piriform cortex, and disrupted pattern separation of odor categories in the orbitofrontal cortex (OFC) and the hippocampus.', 'In the second experiment, we uncovered evidence of grid-like coding with a two-dimensional virtual landscape constructed only of odors. We found that humans can learn to navigate through an odor space, and that the internal maps of the space take the form of periodic, hexagonally symmetric patterns in the entorhinal cortex, the ventromedial prefrontal cortex, and the anterior piriform cortex, consistent with a grid-like arrangement.', 'Results from these experiments should advance our understanding of coding mechanisms by which the olfactory brain represents odors with relational organizations in different applications. They complement and extend earlier literature on olfactory cognition, and advance olfaction as a model system for further studies of relational memory.']",01/01/2018,Interdepartmental Neuroscience Program (NUIN),Dissertation,None,no embargo,Bao_northwestern_0163D_14080.pdf
4,Non-equilibrium thermodynamics of Quench and Partition (Q&P) steels,"(None, 'Amit', None, 'Behera')","austenite stability, carbide, carbon partitioning, paraequilibrium, quench and partition, steels",In Copyright,"['In support of a scientific foundation for the predictive design of composition and processing of quench and partition (Q&P) martensite/austenite TRIP steels, theory of coupled diffusional/displacive transformation is experimentally calibrated to control austenite carbon content and its associated mechanical stability. Under paraequilibrium constraint, the calibration quantifies an effective BCC stored energy that incorporates both stored and dissipated energy associated with displacive interfacial motion during the partitioning treatment. Consistent with prior study of bainitic transformations, the effective stored energy is found to decrease linearly with partitioning temperature, attributed to the effect of dislocation recovery on the forest hardening contribution to interfacial friction. The calibrations are based on highly accurate experimental measurements using electron microscopy, high-energy x-ray diffraction and 3D atom probe tomography to quantify the amount and carbon content of retained austenite as a function of Q&P treatment. Varying the initial quench temperature to vary the initial retained austenite amount, it is demonstrated that the effective BCC stored energy changes with the direction of motion of the interface in association with a sign change of the dissipation contribution, favoring greater C partitioning for BCC->FCC motion. The minimum time for completion of partitioning at the partitioning temperature is consistent with DICTRA paraequilibrium diffusion simulations incorporating the effective stored energy. Measuring retained austenite mechanical stability by the characteristic Msσ temperature below which transformation controls yielding, martensite nucleation theory is calibrated using the forest hardening friction derived from the partitioning experiments to define the characteristic nucleation site potency in the retained austenite. Model predictions of austenite carbon content and stability were validated using a set of new designed alloys with individually optimized Q&P cycles. ', 'Comparison of the stress-strain curves of the Q&P martensite/austenite samples with fully martensitic material shows little influence of the austenite on yield strength, but a dramatic reduction of the ultimate tensile strength by transformation softening which greatly reduces initial strain hardening, retaining higher hardening to higher strains for greatly enhanced flow stability. An unusual correlation between Msσ and the temperature of maximum ductility is attributed to a bimodal austenite stability associated with two morphologies of blocky vs thin-film in the martensite microstructure. ', 'A principal limitation of the Q&P martensite/austenite steels relative to their bainite/austenite counterparts is the more rapid tempering of martensite leading to a major fraction of the alloy carbon being lost to carbides. A preliminary parametric analysis correlating rate of carbide precipitation to paraequilibrium cementite driving force and coarsening rate constant predicts Cr as the most effective alloying element to retard carbide precipitation, with some support from literature data. Predictive design of carbide-free Q&P martensite/austenite steels could double the amount of optimal stability austenite for greatly enhanced TRIP to achieve useful ductility of significantly higher strength levels.']",01/01/2018,Materials Science and Engineering,Dissertation,"code: 1, date: 06/22/2019",Private,Behera_northwestern_0163D_14072.pdf
5,"Politics after Totalitarianism: Rethinking Evil, Action, and Judgment in Kant, Arendt, and Lyotard","(None, 'Javier', None, 'Burdman')","Action, Arendt, Evil, Judgment, Kant, Lyotard",In Copyright,"['Hannah Arendt claimed that “totalitarianism” emerged as a new word to designate a new form of evil in politics. However, she added, the use of a new word does not imply that we understand what this novelty consists in. This dissertation is an attempt to understand the novelty of totalitarian evil. The central argument, following Arendt, is that this understanding requires a reconsideration of the notions of action and judgment. A further argument is that a radical reconsideration of action and judgment in response to a new form of evil in modernity takes place in Immanuel Kant’s practical philosophy, which influenced the political thought of two prominent post-totalitarian thinkers: Arendt and Jean-François Lyotard. The first part of the dissertation analyzes the relationship between evil and action in Kant and Arendt. For both thinkers, evil consists in the destruction of responsibility for action, which stems from the capacity to begin, transform ourselves, and establish relationships with others. The second part analyzes the relationship between evil and judgment in Kant and Lyotard. In their view, evil corrupts the power of judgment by concealing its uncertainty under absolute rules that preclude disagreement. The conclusion argues that action and judgment imply the exposure and endurance of uncertainty, while evil stems from the attempt to eliminate uncertainty.']",01/01/2018,Political Science,Dissertation,None,no embargo,Burdman_northwestern_0163D_14063.pdf
6,"Mass Public: God’s Word, the People’s Language, and U.S. Catholic Liturgical Reform 1940-1974","(None, 'Jennifer', 'Ann', 'Callaghan')","Chicago, Liturgical Reform, Religion and Culture, Religion and Politics, Ritual, U.S. Catholicism",In Copyright,"['In 1964 the Second Vatican Council encouraged a switch from Latin Mass, celebrated by Roman Catholics across the globe in  standardized form since the 16th century, to Mass in the languages spoken by the local people and with some adaptation to local circumstances. This event is familiar to scholars of Religion, American Religious History, and U.S. Catholicism, for all of whom it marks an important historical pivot in culture and practice. The story of the Latin Mass, and its mid-20th century exile, has subsequently come to occupy a central symbolic place in the construction of popular as well as scholarly ideas about religion, modernity, and political responsibility. The language reforms of the middle to late 1960s were opportunities for U.S. Catholics and those who studied them to emphasize certain aspects of many interwoven liturgical strategies, but the narrative that emerged surrounding these events often ignores local projects in favor of projecting a story about the obvious suitability of English for post-war U.S. Catholic practice.', 'This dissertation explores liturgical reform projects undertaken by two urban Catholic dioceses between 1940 and 1974, a period including but not confined to the vernacular language reforms of the 1960s. I argue that liturgical reform both before and after the Second Vatican Council was a category name for efforts by liturgical activists with related but not identical agendas. They hoped to use the persons, spaces, and ambience organized within the Mass to create a common U.S. Catholic identity suitable to the range of religious and civic activities in which Catholics found, or hoped to find, themselves. This attitude would operate outside the Mass, but it would be especially legible in the bodies, faces, and voices of individuals who helped to create the experience of the Mass for each other each Sunday. ', 'In the 1940s, a limited interest in the phrase active participation inspired numerous conversations in Catholic liturgical publications. Attending to these conversations yields historically situated definition of active participation as a phrase with useful authority for inspiring liturgical campaigns and for disciplining the Catholics involved in them. In early 1950s Boston, one such campaign gave diocesan liturgical experts the opportunity to create a significant local community of liturgically expert lay Catholics simultaneously enjoined to capitalize on the growing political and cultural strength of white Catholics, especially men, after the Second World War. Both the narrative and strategies adopted by the archdiocese of Chicago for standardizing vernacular worship in the 1960s continue this pattern, simultaneously working on local Catholics as members of a religious community and as citizens in this period of relative political, economic, and cultural success for white middle class families. ', 'With the advent of the vernacular, largely English, Mass, scholars of and within Catholicism identify a tradition that has finally become a producer of American political virtues. Yet, both before and after the council, liturgical activists used Mass education programming to form Catholic parish communities. Before the Council they did so using English as an educational supplement to Latin celebration. After, they used English as both a measure of participation and a guarantee of communal modernity. To understand vernacular liturgy as a liberation of U.S. Catholics is to miss both the continuity of liturgical discipline across this period and the triumphal nationalism that is smuggled into U.S. Catholic history by uncritically accepting a uniformly English Mass as metonymy for lay freedom, maturation, and spiritual fulfillment.']",01/01/2017,Religious Studies,Dissertation,None,no embargo,Callaghan_northwestern_0163D_14001.pdf
7,"Catholicism(s) on Chicago’s Southside: Race, Ethnicity, and Religion Among Early-Generation Irish and Mexican Americans","(None, 'Christopher', 'R', 'Carroll')","Catholic studies, Chicago, ethnicity, race, religion, sociology",In Copyright,"['This dissertation aims to understand the ways that the social, specifically race, ethnicity, and neighborhood, intersects with the religious identity, beliefs, and practices of early-generation Americans in Chicago. This dissertation asks at the most general level: What is the relationship of race, ethnicity, and religion for early-generation Americans? More specifically, this dissertation answers this question through a comparison of second- and third-generation Irish Americans and Mexican Americans living in ethnic enclaves on Chicago’s Southside. This dissertation is built on evidence from a qualitative, multi-methodological comparative approach to delve deeply into the daily lives and experiences of Irish and Mexican Americans. ', 'Using evidence from a multi-year ethnography and eighty-two in-depth life narrative and visual elicitation interviews with early-generation Irish and Mexican Americans, this dissertation makes two broad claims: (1) Religious identities, beliefs, and practices cannot be understood apart from race, ethnicity, and the local environment, and (2) Religion remains relevant and persists on Chicago’s Southside partly because of, not in spite of, the importance of race and ethnicity in the local context. More specifically, I argue that the different racial contexts and experiences of Irish and Mexican Americans shape their everyday institutional and non-institutional religious practices. For the Irish Americans, the racial experience of being white amidst a predominantly Black far Southside bolsters a salient ethnoreligious identity (“Irish Catholic) which is centered around the local parish neighborhood and school. Moreover, because of the “perceived racial threat” of nearby Black neighborhoods, the Irish Americans feel they have no choice but to use the Catholic schools rather than the predominantly Black public schools, a phenomenon I call the “Catholic school imperative.” For the Mexican Americans, their racial experiences, namely with racism and structural inequality, bolsters a salient racial-ethnic identity and shapes the aims of their everyday Catholic practices toward addressing the effects of structural inequality in their daily lives. To this end, Mexican Americans use everyday Mexican Catholic practices such as home shrines and religious objects to protect them from the deleterious impact of systemic racism.']",01/01/2018,Sociology,Dissertation,None,no embargo,Carroll_northwestern_0163D_14125.pdf
8,Determinants of Structural Organization and Substrate Specificity in Ribonuclease P,"(None, 'Clarence', None, 'Chan')","Protein-nucleic acid interactions, Protein structure, RNA structure, Structural biology, X-ray crystallography",In Copyright,"['Determinants of Structural Organization and Substrate Specificity in Ribonuclease P ', 'Clarence W. Chan', 'Ribonuclease Precursor (ribonuclease P or RNase P) is an endonucleolytic ribonucleic acid enzyme (ribozyme) that is conserved across all domains of life. The primary and most well-studied function of RNase P is its role in transfer RNA (tRNA) biogenesis, as it catalyzes the removal of an extraneous 5’ leader segment from precursor tRNAs. Previous studies have also shown that RNase P, which consists of a catalytic RNA subunit and at least one protein cofactor, can act on a variety of RNA substrates in addition to precursor tRNAs. The precise mechanism by which RNase P recognizes and distinguishes tRNAs and other non-tRNA substrates from the diverse pool of folded RNA molecules in a typical cell remains unclear, particularly when considering that some of its non-tRNA substrates are predicted to assume a completely different tertiary structure than tRNAs.', 'My approach to studying the substrate specificity of RNase P was to examine structurally how bacterial RNase P recognizes alternative non-tRNA substrates, as well as to investigate the structure and function of additional protein subunits that are unique to the archaeal and eukaryotic RNase P to better define the intricate relationships among substrate specificity, catalytic function, and structural organization of the RNase P macromolecular complex in the three domains of life. My work on RNase P and its various RNA substrates has provided me with a unique perspective to analyze several RNA motifs, such as tetraloops, T-loops, and K-turns, as well as recurrent patterns of structural organization in large RNA and RNA-protein complexes.', 'Taken together, my studies provide not only novel insights into the determinants of structural organization and substrate specificity in RNase P, but also a better understanding of the biophysical properties of folded RNAs and their interactions with proteins. Although my work spans a multitude of systems and involves a large collection of biological molecules, I present my work with the unified theme that folded RNA molecules are structurally and functionally diverse, assume critical roles for a wide range of cellular processes, and have co-evolved with a large supporting cast of fascinating protein cofactors and modifying enzymes.', 'Thesis advisor: Dr. Alfonso Mondragón']",01/01/2018,Interdepartmental Biological Sciences (IBiS) Graduate Program,Dissertation,"code: 1, date: 06/22/2020",Private,Chan_northwestern_0163D_14066.pdf
9,Scalable Micro and Nano Manufacturing of Photonic Devices,"(None, 'Xiangfan', None, 'Chen')","Additive Manufacturing, Metamaterial, Nanoimprinting, Photonic Device, Scalable Nanomanufacturing",In Copyright,"['Scientific discoveries have always been the main driving forces behind many engineering innovations. In particular, the emerging field of electromagnetic and mechanical metamaterials offers fundamentally new capabilities in creating non-naturally occurring properties via rational designs at deep micro-/nanoscales. However, despite their potential to have a transformative impact on many applications, especially photonic devices, the lack of capable advanced micro and nanomanufacturing technologies imposes serious constraints which impede the successful translation of these exciting scientific discoveries into commercially viable products and applications. The wide gap between scientific research and the development of advanced manufacturing technologies poses many significant challenges in fulfilling the growing demand for photonic devices manufactured with increasingly fine details but without undermining their overall scalability, reliability, and cost-effectiveness. For example, three-dimensional (3D) printing technologies still face the inherent speed-accuracy trade-off, which limits the overall scalability in manufacturing sophisticated 3D parts containing microscale and nanoscale features. Thus, this dissertation aims to bridge the gap between scientific discoveries and micro and nanomanufacturing methods to further facilitate the scalable manufacturing of multiscale photonic structures and devices. ', 'In this dissertation, hybrid top-down electro-beam lithography and bottom-up vapor–liquid–solid method are first integrated together to fabricate electromagnetic metamaterials comprising two-dimensional (2D) indium tin oxide nanorod arrays (ITO-NRAs), which support strong localized surface plasmon resonances (LSPRs) at infrared frequencies. By exploiting the strong coupling of electromagnetic waves with induced electric dipoles at LSPRs in the ITO-NRAs, artificial tunable polariton bandgaps at infrared frequencies are investigated theoretically and experimentally. A theoretical model is first developed to understand the coupled phenomena underlying the unique characteristics of plasmon–polariton bandgaps. With high-degree control of the geometries of the ITO-NRAs, it has been experimentally demonstrated that controlling the near-field interactions among the neighboring electric dipoles allows for manipulation of the collective polariton modes. ', 'To further increase the manufacturing speed and scalability of metamaterials with sophisticated nanostructures, nanoimprinting and nanotransfer printing methods are integrated to accomplish the highly scalable nanomanufacturing of a metasurface comprising U-shaped nanowire resonators (UNWRs). This UNWR metasurface supports reconfigurable ferromagnetic and antiferromagnetic hybridization of 2D artificial magnetic dipoles at optical frequencies, and its optical properties can be substantially manipulated by controlling the spatial and orientational arrangement of the magnetic dipoles. In addition, because of the existence of free-standing prongs, these nanoscale UNWRs support co-localized electromagnetic resonance at optical frequencies and mechanical resonance at GHz frequencies. The coherent coupling of these two distinct resonances manifests a strong optical force, which allows the UNWRs to dynamically change their optical properties upon the incident light. The all-optical modulation at the frequency at 1.8 GHz has thus been demonstrated experimentally using this UNWR metasurface. ', 'Furthermore, a time- and cost-effective single-photon projection micro-stereolithography (PµSL) method is studied to accomplish high-throughput 3D printing of customized photonic devices. The grayscale photopolymerization process and the meniscus equilibrium post-curing process are integrated to completely remove the pixelated surface roughness from the PµSL technique while maintaining a high fabrication speed at 24.54 mm3/h. We have demonstrated the capability to 3D-print optical elements, such as aspheric imaging lenses, with deep subwavelength surface smoothness (< 7 nm), sub-voxel-scale precision (< 5 µm), and high reproducibility, offering a highly reliable solution for the rapid prototyping of customized photonic devices with micro-/ nanoscale features from the optimized design. Besides, the light-trapping characteristic of diatom frustules has been investigated numerically and experimentally. We have discovered that placing the diatom frustules on the surface of light-absorption materials can strongly enhance optical absorption over the visible spectrum and thus increase the efficiency of the energy conversion of photovoltaic devices. ', 'Through these works, several approaches have been studied to address the challenges with the scalable manufacturing of 3D photonic devices, and these efforts will benefit a broad range of fields, such as photonics, mechanics, energy, and healthcare.']",01/01/2018,Mechanical Engineering,Dissertation,"code: 1, date: 12/22/2018",Private,Chen_northwestern_0163D_14082.pdf
